x        y        z        latitude        longitude         altitude         
-28.10978377  -52.37498378  0.00000000  39.47161392  115.62439112  0.00000000  
-28.37056786  -52.54973239  0.00000000  39.47161231  115.62438812  0.00000000  
-28.60527526  -52.70711713  0.00000000  39.47161086  115.62438542  0.00000000  
-28.86346187  -52.88079526  0.00000000  39.47160926  115.62438245  0.00000000  
-29.09130472  -53.03939489  0.00000000  39.47160780  115.62437983  0.00000000  
-29.34605060  -53.21312553  0.00000000  39.47160620  115.62437690  0.00000000  
-29.57298245  -53.36840869  0.00000000  39.47160477  115.62437429  0.00000000  
-29.82342742  -53.54220497  0.00000000  39.47160317  115.62437141  0.00000000  
-29.99645158  -53.66056691  0.00000000  39.47160208  115.62436942  0.00000000  
-30.16863251  -53.78005185  0.00000000  39.47160098  115.62436744  0.00000000  
-30.38952614  -53.93431704  0.00000000  39.47159956  115.62436490  0.00000000  
-30.58518629  -54.07009537  0.00000000  39.47159831  115.62436265  0.00000000  
-30.75480361  -54.19072955  0.00000000  39.47159720  115.62436070  0.00000000  
-30.97222263  -54.34282752  0.00000000  39.47159580  115.62435820  0.00000000  
-31.21055725  -54.51236814  0.00000000  39.47159424  115.62435546  0.00000000  
-31.40019612  -54.64823837  0.00000000  39.47159299  115.62435328  0.00000000  
-31.58980111  -54.78188886  0.00000000  39.47159176  115.62435110  0.00000000  
-31.75511752  -54.90258868  0.00000000  39.47159065  115.62434920  0.00000000  
-31.92038311  -55.01995890  0.00000000  39.47158957  115.62434730  0.00000000  
-32.08306814  -55.13736851  0.00000000  39.47158849  115.62434543  0.00000000  
-32.29188532  -55.28959777  0.00000000  39.47158709  115.62434303  0.00000000  
-32.49984233  -55.44184015  0.00000000  39.47158569  115.62434064  0.00000000  
-32.72955819  -55.61040218  0.00000000  39.47158414  115.62433800  0.00000000  
-32.93491771  -55.76157408  0.00000000  39.47158275  115.62433564  0.00000000  
-33.16115895  -55.92796890  0.00000000  39.47158122  115.62433304  0.00000000  
-33.36306079  -56.07808345  0.00000000  39.47157984  115.62433072  0.00000000  
-33.58672148  -56.24451765  0.00000000  39.47157831  115.62432815  0.00000000  
-33.78607666  -56.39689132  0.00000000  39.47157691  115.62432586  0.00000000  
-34.00626273  -56.56115831  0.00000000  39.47157540  115.62432333  0.00000000  
-34.18121073  -56.69281225  0.00000000  39.47157419  115.62432132  0.00000000  
-34.35703586  -56.82556293  0.00000000  39.47157297  115.62431930  0.00000000  
-34.59552312  -57.00509221  0.00000000  39.47157132  115.62431656  0.00000000  
-34.76529306  -57.13571507  0.00000000  39.47157012  115.62431461  0.00000000  
-34.97942397  -57.29785423  0.00000000  39.47156863  115.62431215  0.00000000  
-35.15005411  -57.42846395  0.00000000  39.47156743  115.62431019  0.00000000  
-35.31893000  -57.55688021  0.00000000  39.47156625  115.62430825  0.00000000  
-35.48694569  -57.68530959  0.00000000  39.47156507  115.62430632  0.00000000  
-35.67584313  -57.82896188  0.00000000  39.47156375  115.62430415  0.00000000  
-35.88300786  -57.98565676  0.00000000  39.47156231  115.62430177  0.00000000  
-36.06757048  -58.12715498  0.00000000  39.47156101  115.62429965  0.00000000  
-36.25213311  -58.26865319  0.00000000  39.47155971  115.62429753  0.00000000  
-36.43581861  -58.40905468  0.00000000  39.47155842  115.62429542  0.00000000  
-36.65868703  -58.57994137  0.00000000  39.47155685  115.62429286  0.00000000  
-36.82145693  -58.70290021  0.00000000  39.47155572  115.62429099  0.00000000  
-36.98248950  -58.82477543  0.00000000  39.47155460  115.62428914  0.00000000  
-37.22623969  -59.01088503  0.00000000  39.47155289  115.62428634  0.00000000  
-37.43337059  -59.16536014  0.00000000  39.47155147  115.62428396  0.00000000  
-37.61965364  -59.30683206  0.00000000  39.47155017  115.62428182  0.00000000  
-37.82939901  -59.46348749  0.00000000  39.47154873  115.62427941  0.00000000  
-38.01910590  -59.60379701  0.00000000  39.47154744  115.62427723  0.00000000  
-38.23058860  -59.76153602  0.00000000  39.47154599  115.62427480  0.00000000  
-38.42290995  -59.90402586  0.00000000  39.47154468  115.62427259  0.00000000  
-38.61693475  -60.04537957  0.00000000  39.47154338  115.62427036  0.00000000  
-38.83184129  -60.20195618  0.00000000  39.47154194  115.62426789  0.00000000  
-39.02586609  -60.34330988  0.00000000  39.47154064  115.62426566  0.00000000  
-39.24333628  -60.49873721  0.00000000  39.47153921  115.62426316  0.00000000  
-39.41642852  -60.62153841  0.00000000  39.47153808  115.62426117  0.00000000  
-39.65388639  -60.78998205  0.00000000  39.47153653  115.62425844  0.00000000  
-39.84784345  -60.92689627  0.00000000  39.47153527  115.62425621  0.00000000  
-40.06089411  -61.07462021  0.00000000  39.47153391  115.62425376  0.00000000  
-40.25134265  -61.20714750  0.00000000  39.47153269  115.62425157  0.00000000  
-40.46351620  -61.35377470  0.00000000  39.47153134  115.62424913  0.00000000  
-40.63392625  -61.46995608  0.00000000  39.47153027  115.62424717  0.00000000  
-40.82344685  -61.59805704  0.00000000  39.47152909  115.62424499  0.00000000  
-41.03209494  -61.73918744  0.00000000  39.47152779  115.62424259  0.00000000  
-41.21984434  -61.86398506  0.00000000  39.47152664  115.62424043  0.00000000  
-41.42842466  -62.00067600  0.00000000  39.47152538  115.62423803  0.00000000  
-41.61355962  -62.12329329  0.00000000  39.47152425  115.62423590  0.00000000  
-41.81863143  -62.25559729  0.00000000  39.47152303  115.62423354  0.00000000  
-42.00283843  -62.37378825  0.00000000  39.47152194  115.62423142  0.00000000  
-42.20445255  -62.50503491  0.00000000  39.47152073  115.62422910  0.00000000  
-42.40773622  -62.63292571  0.00000000  39.47151955  115.62422676  0.00000000  
-42.61098602  -62.75859678  0.00000000  39.47151839  115.62422442  0.00000000  
-42.79423119  -62.87014167  0.00000000  39.47151736  115.62422231  0.00000000  
-42.97661617  -62.98169970  0.00000000  39.47151633  115.62422021  0.00000000  
-43.18065839  -63.10291817  0.00000000  39.47151521  115.62421786  0.00000000  
-43.38291247  -63.21972345  0.00000000  39.47151413  115.62421553  0.00000000  
-43.58427246  -63.33432213  0.00000000  39.47151307  115.62421321  0.00000000  
-43.76478459  -63.43591763  0.00000000  39.47151213  115.62421113  0.00000000  
-43.94698322  -63.53526714  0.00000000  39.47151121  115.62420903  0.00000000  
-44.14822462  -63.64209677  0.00000000  39.47151022  115.62420671  0.00000000  
-44.34860584  -63.74893952  0.00000000  39.47150923  115.62420440  0.00000000  
-44.52813919  -63.84277910  0.00000000  39.47150836  115.62420233  0.00000000  
-44.72931283  -63.94516926  0.00000000  39.47150741  115.62420001  0.00000000  
-44.91223611  -64.03562671  0.00000000  39.47150657  115.62419790  0.00000000  
-45.11769376  -64.13684134  0.00000000  39.47150563  115.62419553  0.00000000  
-45.30490105  -64.22612325  0.00000000  39.47150480  115.62419337  0.00000000  
-45.53975766  -64.33688011  0.00000000  39.47150377  115.62419066  0.00000000  
-45.73381258  -64.42383723  0.00000000  39.47150296  115.62418842  0.00000000  
-45.95212226  -64.52152524  0.00000000  39.47150205  115.62418590  0.00000000  
-46.15132138  -64.60729369  0.00000000  39.47150125  115.62418360  0.00000000  
-46.37561851  -64.70267004  0.00000000  39.47150036  115.62418101  0.00000000  
-46.58077119  -64.78390709  0.00000000  39.47149960  115.62417864  0.00000000  
-46.83520884  -64.88104349  0.00000000  39.47149869  115.62417570  0.00000000  
-47.06883250  -64.96739645  0.00000000  39.47149788  115.62417300  0.00000000  
-47.28079893  -65.04408897  0.00000000  39.47149716  115.62417055  0.00000000  
-47.49438407  -65.11409604  0.00000000  39.47149650  115.62416808  0.00000000  
-47.73045276  -65.19153067  0.00000000  39.47149577  115.62416535  0.00000000  
-47.94481337  -65.25597528  0.00000000  39.47149516  115.62416287  0.00000000  
-48.18244994  -65.32339487  0.00000000  39.47149452  115.62416012  0.00000000  
-48.39670889  -65.38118029  0.00000000  39.47149397  115.62415764  0.00000000  
