x        y        z        latitude        longitude         altitude         
6.76752315  3.81766645  86.97000000  39.47212490  115.62478652  86.97000000  
6.58664061  3.69165282  86.97000000  39.47212374  115.62478444  86.97000000  
6.40407158  3.56788518  86.97000000  39.47212260  115.62478234  86.97000000  
6.08054402  3.34080720  86.98000000  39.47212051  115.62477862  86.98000000  
5.90224201  3.21475420  86.99000000  39.47211935  115.62477657  86.99000000  
5.72304592  3.08649462  86.99000000  39.47211817  115.62477451  86.99000000  
5.43433211  2.88552827  86.99000000  39.47211632  115.62477119  86.99000000  
5.25176304  2.76176066  86.99000000  39.47211518  115.62476909  86.99000000  
5.07174063  2.63573394  86.99000000  39.47211402  115.62476702  86.99000000  
4.89171821  2.50970723  86.99000000  39.47211286  115.62476495  86.99000000  
4.71086949  2.38591337  86.99000000  39.47211172  115.62476287  86.99000000  
4.41965976  2.19053576  87.00000000  39.47210992  115.62475952  87.00000000  
4.23881102  2.06674192  87.00000000  39.47210878  115.62475744  87.00000000  
4.05794534  1.94183821  86.99000000  39.47210763  115.62475536  86.99000000  
3.87792289  1.81581152  86.99000000  39.47210647  115.62475329  86.99000000  
3.55188240  1.59321248  86.99000000  39.47210442  115.62474954  86.99000000  
3.36933020  1.47055477  86.99000000  39.47210329  115.62474744  86.99000000  
3.18932467  1.34563795  86.99000000  39.47210214  115.62474537  86.99000000  
2.86331801  1.12525866  86.99000000  39.47210011  115.62474162  86.99000000  
2.68078274  1.00371083  86.99000000  39.47209899  115.62473952  86.99000000  
2.49821357  0.87994328  86.99000000  39.47209785  115.62473742  86.99000000  
2.16959246  0.65738367  86.99000000  39.47209580  115.62473364  86.99000000  
1.98872670  0.53248002  86.98000000  39.47209465  115.62473156  86.98000000  
1.80703464  0.40980922  86.98000000  39.47209352  115.62472947  86.98000000  
1.62620275  0.28712530  86.97000000  39.47209239  115.62472739  86.97000000  
1.33583612  0.09062481  86.97000000  39.47209058  115.62472405  86.97000000  
1.15419485  -0.02871639  86.97000000  39.47208948  115.62472196  86.97000000  
0.97336294  -0.15140030  86.98000000  39.47208835  115.62471988  86.98000000  
0.79337427  -0.27520719  86.97000000  39.47208721  115.62471781  86.97000000  
0.61083892  -0.39675497  86.97000000  39.47208609  115.62471571  86.97000000  
0.28397194  -0.61712103  86.97000000  39.47208406  115.62471195  86.97000000  
0.10312306  -0.74091478  86.97000000  39.47208292  115.62470987  86.97000000  
-0.07772582  -0.86470853  86.97000000  39.47208178  115.62470779  86.97000000  
-0.36977903  -1.05896297  86.97000000  39.47207999  115.62470443  86.97000000  
-0.70089616  -1.27593376  86.97000000  39.47207799  115.62470062  86.97000000  
-0.88516886  -1.39856512  86.96000000  39.47207686  115.62469850  86.96000000  
-1.07117886  -1.52228007  86.96000000  39.47207572  115.62469636  86.96000000  
-1.25460833  -1.64603441  86.96000000  39.47207458  115.62469425  86.96000000  
-1.54762341  -1.84693486  86.96000000  39.47207273  115.62469088  86.96000000  
-1.87626171  -2.07060416  86.96000000  39.47207067  115.62468710  86.96000000  
-2.06053444  -2.19323549  86.96000000  39.47206954  115.62468498  86.96000000  
-2.24394700  -2.31587994  86.96000000  39.47206841  115.62468287  86.96000000  
-2.56929705  -2.54959049  86.96000000  39.47206626  115.62467913  86.96000000  
-2.75358674  -2.67333167  86.96000000  39.47206512  115.62467701  86.96000000  
-2.93952905  -2.79260713  86.96000000  39.47206402  115.62467487  86.96000000  
